ID	Pergunta	Alternativa A	Alternativa B	Alternativa C	Alternativa D	Resposta Correta	Dica	Dificuldade
11	O que justifica o design do Scratch não apresentar mensagens textuais de "erro de sintaxe" (syntax errors) para os usuários?	Assegurar o "Piso Baixo" (Low Floor); o encaixe visual dos blocos impede estruturas inválidas, eliminando a frustração sintática inicial e permitindo que o aluno foque estritamente na lógica semântica e sistêmica do projeto.	Forçar o estudante a utilizar tentativa e erro cega para descobrir as regras de compilação da linguagem de máquina estruturada no núcleo do sistema operacional.	Economizar processamento dos servidores em nuvem do MIT, visto que a geração de mensagens de erro consome largura de banda excessiva em redes escolares locais.	Garantir que os professores não precisem avaliar o código dos alunos, baseando as notas apenas na aparência visual final dos personagens e cenários gráficos.	Alternativa A	Ao eliminar a possibilidade de digitar um comando estruturalmente errado, o obstáculo mecânico é removido, priorizando o raciocínio heurístico.	Média
12	No livro, como a prática da "Remixagem" em plataformas digitais redefine a colaboração baseada no pilar "Pares" (Peers)?	A remixagem transforma a apropriação, o estudo e a modificação do código de terceiros em um processo legítimo de aprendizagem em rede e inspiração mútua, desconstruindo a noção de plágio isolacionista.	A remixagem obriga os alunos a trabalharem no mesmo computador físico simultaneamente, garantindo que o controle de versão do software seja feito presencialmente no laboratório.	A remixagem é tratada como uma infração grave de direitos autorais que resulta no bloqueio da conta do usuário, visando proteger a propriedade intelectual corporativa acadêmica.	A remixagem exige que o aluno apague o projeto original e reescreva todo o algoritmo de memória para comprovar a assimilação da lógica estrutural procedimental desenvolvida pelo colega.	Alternativa A	A inovação criativa em comunidades digitais baseia-se em construir sobre os ombros de construções anteriores, citando a autoria original.	Fácil
13	Ao analisar os Clubes de Computação Criativa (Computer Clubhouses), Resnick destaca a ausência de currículos estruturados. Qual é a finalidade pedagógica dessa escolha?	Fomentar o acesso guiado pelo interesse (drop-in), onde a motivação intrínseca direciona a exploração e a construção de projetos significativos, livres da coerção das avaliações formais e testes padronizados.	Reduzir o custo operacional do clube, eliminando a necessidade de contratar profissionais capacitados em metodologias de ensino de tecnologia aplicada baseada em métricas padronizadas.	Isolar os jovens em baias acústicas para garantir que o desenvolvimento de software ocorra em silêncio absoluto sem a interferência ou colaboração de outros membros da comunidade periférica.	Provar que crianças e adolescentes não possuem capacidade cognitiva para aprender ciência da computação estruturada, mantendo o foco unicamente em entretenimento lúdico e recreação motora sem hardware.	Alternativa A	A ausência de um roteiro fixo permite que a "Paixão" atue como a principal bússola do aprendizado técnico.	Média
14	O conceito de "Ideias Poderosas" (Powerful Ideas), herdado de Papert e discutido por Resnick, caracteriza-se por:	Fornecer ao aluno novos modelos mentais (lentes) que alteram a sua compreensão de mundo e que podem ser transferidos e aplicados heuristicamente na resolução de problemas em diferentes domínios e contextos cotidianos.	Restringir-se à memorização de datas históricas e constantes matemáticas que são cobradas em exames de admissão universitária sem qualquer conexão com a utilidade prática do estudante.	Ser aplicável unicamente a linguagens de programação de baixo nível que não possuem interface gráfica e requerem compilação local restrita e estática nos microcontroladores em laboratórios fechados elitizados.	Designar algoritmos comerciais desenvolvidos por grandes empresas de tecnologia que devem ser adquiridos pelas secretarias de educação para garantir a padronização curricular mecânica nacional exata quantitativa.	Alternativa A	Ideias poderosas mudam a forma como a pessoa enxerga e estrutura o raciocínio, e não apenas o que ela sabe momentaneamente.	Difícil
15	O debate sobre o "Tempo de Tela" (Screen Time) na Aprendizagem Criativa enfatiza que os pais e educadores devem focar em avaliar:	A natureza da atividade; distinguindo criticamente se a criança atua como consumidora passiva de mídia de entretenimento ou como autora ativa que utiliza o dispositivo para criação sistêmica, expressão lógica e prototipagem.	As configurações de brilho e contraste dos monitores, assumindo que a luz azul é a única variável que afeta o desenvolvimento cognitivo e neurológico de crianças durante o letramento digital oficial nas escolas ativas.	A marca comercial do software operacional utilizado, partindo da premissa de que sistemas abertos são nocivos e sistemas fechados comerciais garantem aprendizagem estruturada por via de hipermemorização automatizada exata.	O total de minutos exatos de uso diário de forma isolada, independentemente se o estudante está programando um jogo, editando um vídeo autoral ou assistindo passivamente a compilações de desenhos animados de consumo sequencial linear.	Alternativa A	O impacto intelectual não é determinado pelo equipamento, mas pelo tipo de agência que a criança exerce sobre ele.	Média
16	No livro, Resnick critica os aplicativos classificados como "Edutainment". Qual é o principal problema apontado nessas ferramentas?	Elas revestem abordagens instrucionistas antiquadas (treino e repetição) com gráficos coloridos e recompensas virtuais, não oferecendo espaço genuíno para autoria, expressão sistêmica ou pensamento divergente.	Elas exigem a programação direta de microprocessadores utilizando linguagens Assembly, o que é inadequado para a educação primária devido ao alto nível de abstração estrutural requerida na digitação estrita mecânica formal analítica.	Elas são baseadas em código aberto (open source), impossibilitando o rastreamento das métricas de desempenho dos alunos pelas diretorias regionais de ensino focadas no controle burocrático avaliativo padronizador métrico hierarquizado.	Elas exigem conectividade de fibra óptica de latência ultrabaixa para simulações termodinâmicas, inviabilizando sua adoção nas escolas públicas das periferias urbanas isoladas de infraestrutura digital técnica comercial utilitária e pragmática avançada.	Alternativa A	O uso de tecnologia moderna para mascarar o velho paradigma de memorização passiva não transforma a experiência em aprendizagem criativa.	Média
17	A "Fluência Tecnológica" é reiteradamente comparada à fluência em um idioma. O que essa analogia busca evidenciar?	Que saber utilizar tecnologia (alfabetização) equivale a ler, enquanto a fluência real exige a capacidade de escrever, ou seja, de expressar ideias próprias, criar sistemas e construir sentido autoral com o meio tecnológico.	Que a tecnologia só deve ser ensinada após a criança dominar completamente a gramática normativa de sua língua materna através de exercícios repetitivos em lousas tradicionais analógicas nas séries introdutórias do ciclo base oficial clássico.	Que a programação requer a memorização prévia de vocabulários extensos em língua inglesa, impossibilitando a fluência técnica de estudantes de países não anglófonos sem certificações internacionais de exames de proficiência fonética.	Que o estudo da ciência da computação substituirá integralmente as disciplinas de língua portuguesa e literatura nos currículos federais, pois o código binário é a única linguagem válida para a automação do mercado de trabalho global unificado utilitário corporativo.	Alternativa A	O objetivo é o empoderamento de usar o meio (código) para produzir discurso, arte e soluções, não apenas para consumir comandos predefinidos.	Média
18	Segundo o autor, qual é o papel adequado do professor/educador em um ambiente pautado pelos 4 Ps?	Atuar como catalisador, arquiteto de ambientes e co-aprendiz, criando estruturas (andaimes) que orientam a investigação, encorajam a exploração autônoma e auxiliam a reflexão crítica sem ditar as respostas prontas metodológicas diretas e mecânicas.	Transfomar-se em um avaliador somativo rigoroso focado exclusivamente na métrica de erros de compilação dos projetos desenvolvidos no prazo restrito da avaliação pontual estadual burocratizada padronizada estrita e elitizada clássica focada na competição individual e fechada mecânica.	Impor o planejamento hierárquico (top-down) a todos os grupos de trabalho, garantindo que o improviso (bricolage) seja severamente punido com redução da pontuação acadêmica no fechamento do histórico escolar disciplinar formal rígido isolacionista transmissivo exato utilitário e conteudista cego.	Delegar inteiramente a gestão da aula a softwares de inteligência artificial de tutoria automatizada, afastando-se do relacionamento interpessoal para exercer unicamente funções administrativas contábeis relativas à manutenção do maquinário institucional da escola técnica municipal unificada.	Alternativa A	O foco muda de "fornecer informação" para "facilitar a descoberta" e modelar a atitude científica perante os desafios.	Fácil
19	O conceito de "Piso Baixo" (Low Floor) assegura o engajamento inicial na ferramenta. O que o conceito de "Tetos Altos" (High Ceilings) garante no longo prazo?	A ferramenta suporta o avanço intelectual do aluno, permitindo o desenvolvimento de algoritmos complexos e a estruturação de projetos sofisticados sem que a interface o restrinja prematuramente ou o force a trocar de plataforma técnica.	A escola será obrigada a comprar licenças comerciais adicionais anualmente para garantir que os alunos acessem bibliotecas matemáticas bloqueadas na versão gratuita da ferramenta operacional adotada.	O software apresentará limites de memória intencionais para forçar os alunos a trabalharem em grupos isolados e desenvolverem a tolerância à frustração técnica em sistemas obsoletos não interativos lúdicos dinâmicos ou construtivos abertos.	A plataforma focará exclusivamente na avaliação quantitativa, medindo o tempo gasto pelo aluno no sistema para gerar planilhas de assiduidade utilizadas pelo governo na manutenção dos repasses de verbas federais centralizadas estritas normativas exatas burocráticas formais restritas hierarquizadas métricas	Alternativa A	A interface deve estender suas capacidades sistêmicas em paralelo ao amadurecimento lógico e intencional do aprendiz criador.	Média
20	O princípio de "Fornecer Ferramentas, não Soluções" discutido por Resnick visa evitar qual problema comum em kits de robótica educacional comerciais?	A supressão da agência criativa e do esforço cognitivo que ocorre quando manuais passo-a-passo reduzem a construção a uma montagem mecânica predeterminada sem espaço para ideação autoral, tentativa e erro estrutural ou design iterativo original próprio.	A desorganização das carteiras e o excesso de lixo eletrônico gerado nos laboratórios por alunos inexperientes, o que aumenta exponencialmente o custo de manutenção predial do espaço físico destinado às oficinas tecnológicas de ensino público focado em restrição orçamentária métrica isolada clássica oficial regular.	O desenvolvimento excessivo de competências interpessoais e de oratória durante a fase de ideação, que desviam o foco técnico estrito da disciplina de linguagem de máquina e engenharia de telecomunicações abordada no ensino superior de forma exata e purista isolacionista transmissiva dogmática fechada.	O bloqueio da venda em escala global de plataformas de tecnologia educacional, visto que as ferramentas sem manuais de instrução são incompatíveis com as patentes de licenciamento comercial das corporações fornecedoras dos estados nações centralizados em operação métrica somativa padronizadora avaliativa utilitarista punitiva mecanicista cega e elitizada exata formal e hierarquizada pragmática restritiva rígida isolada e limitadora conteudista purista linear estática conservadora.	Alternativa A	Se o resultado da construção já foi idealizado pelo fabricante, o processo mental do aluno é reduzido ao de um montador guiado.	Fácil
21	A integração entre o mundo físico e digital (Computação Física) defendida por Resnick expande a Aprendizagem Criativa porque:	Tira a lógica algorítmica da tela bidimensional e a corporifica, permitindo que os estudantes utilizem sensores para interagir com o ambiente e criar sistemas que respondem fisicamente (luzes, motores), atraindo novos perfis de aprendizes pela intersecção com a arte e o design mecânico.	Exige o uso obrigatório de maquinário de usinagem industrial pesado, garantindo a formação técnica vocacional para a indústria de automação automotiva antes da conclusão do ensino fundamental obrigatório.	Impede o desenvolvimento do raciocínio matemático abstrato, já que o aluno dependerá permanentemente do hardware para confirmar se a sintaxe textual inserida na compilação estrutural está perfeitamente alinhada aos protocolos de comunicação de rede locais corporativos fechados.	Restringe o acesso às oficinas tecnológicas apenas aos estudantes que demonstram alto desempenho físico e motor nas avaliações esportivas, criando um funil de entrada baseado em resistência orgânica e fisiológica em vez de interesse intelectual ou cognitivo dedutivo construtivista sistêmico.	Alternativa A	A computação física borra as fronteiras entre a ciência da computação e a invenção material do dia a dia.	Média
22	Ao defender a avaliação baseada em projetos, Resnick critica as provas padronizadas somativas porque elas falham em medir:	Competências fundamentais para o Pensador Criativo Sistêmico, como a capacidade de depurar problemas imprevistos, iterar sobre um design, colaborar horizontalmente, sustentar o esforço e expressar ideias originais e sistêmicas ao longo de um percurso investigativo analítico prático construtivo reflexivo integrado e dialógico no espaço.	A habilidade de memorização mecânica de matrizes logarítmicas de base dez exigidas para o cálculo estrutural de redes de telecomunicações avançadas em curto período temporal isolado estático e cronometrado pontualmente por inspetores federais engessados conteudistas unilaterais transmissivos passivos cegos e elitizados normativos puristas rígidos.	O tempo exato de retenção visual do aluno na interface gráfica principal do sistema educacional comercial adotado pela diretoria acadêmica com fins de renovação anual do licenciamento corporativo fechado de métrica excludente e pragmática restritiva isolada clássica conservadora competitiva elitista e utilitarista pontual somatória unilateral formal.	A velocidade bruta de digitação alfanumérica em teclados no padrão internacional QWERTY, habilidade central considerada pelo autor como o núcleo metodológico do construcionismo de base escolar unificado mecânico diretivo estrito passivo e linear hierarquizado isolacionista pragmático purista e conservador dogmático cego e estagnado no tempo de uso da máquina física computacional clássica analítica oficial restritiva e mecânica padronizada exata.	Alternativa A	Provas padronizadas medem respostas estanques em condições artificiais isoladas, e não a capacidade orgânica de resolução de problemas complexos no tempo.	Fácil
23	O que a etapa "Brincar" (Play) da Espiral exige do ambiente de aprendizagem para que ela ocorra de forma segura e produtiva?	Um espaço sociotécnico que elimine o medo paralisante da reprovação e da penalidade por erros, encorajando a investigação iterativa heurística, a curiosidade tátil e a assunção de riscos lógicos como parte estrutural e validada do processo de descoberta autoral.	A imposição de silêncio absoluto e isolamento acústico nas cabines de operação computacional para garantir a ausência de estímulos externos distratores da tarefa de cópia textual algorítmica imposta nos manuais escolares diretivos métricos avaliativos exatos formais dogmáticos tradicionais punitivos conservadores e conteudistas passivos transmissivos unilaterais restritos e elitizados.	O uso exclusivo de hardwares virtuais simulados que não possuem representação no mundo real, evitando qualquer tipo de interação motora ou de colaboração entre a equipe técnica designada para o cumprimento da meta instrucional mecânica fechada estrita determinista linear utilitária e pragmática excludente competitiva somatória isolada cega pontual.	A formulação de um contrato jurídico assinado pelos pais dos estudantes garantindo que nenhum equipamento será testado fora de suas especificações de fábrica originais corporativas, proibindo qualquer experimentação ou modificação criativa por questões de responsabilidade civil burocrática institucional escolar governamental unificada e hierarquizada restritiva.	Alternativa A	Brincar seriamente requer a liberdade para errar sem a consequência punitiva de ter a nota rebaixada na média final.	Média
24	No desenvolvimento do Scratch, por que os blocos de comando foram projetados sem formatos de encaixe universais (ou seja, apenas alguns blocos se conectam a outros específicos)?	Para fornecer feedback visual imediato sobre a sintaxe, indicando naturalmente quais comandos fazem sentido lógico juntos (ex: um operador booleano hexagonal só entra em uma fenda condicional hexagonal), eliminando erros tipográficos que interromperiam a fluência do projeto original iterativo inicial.	Para obrigar a escola a adquirir periféricos de entrada especiais (mouses e teclados industriais) projetados exclusivamente para interpretar as variadas formas geométricas da plataforma gráfica comercial estadual fechada restritiva excludente competitiva elitista normatizada burocrática clássica formal estática mecânica pontual pragmática cega exata.	Para aumentar intencionalmente a dificuldade da programação, garantindo o "Piso Alto" e filtrando os alunos com déficit de percepção visual para outras disciplinas não tecnológicas no currículo municipal estrito isolacionista transmissivo avaliativo métrico diretivo dogmático purista conservador e passivo somatório punitivo fechado conteudista linear unilateral.	Para proteger os algoritmos de propriedade intelectual do MIT contra pirataria, uma vez que a disposição geométrica atua como uma chave criptográfica que impede a execução offline do código fonte aberto orgânico estrutural descentralizado colaborativo interativo vivo dialógico empático inclusivo plástico contínuo autêntico real.	Alternativa A	A restrição física na forma do bloco guia a arquitetura lógica (semântica) e remove o atrito mecânico da sintaxe clássica baseada em símbolos de texto da linguagem convencional.	Média
25	Qual é a principal distinção que Resnick faz entre "Colaboração" e a simples "Divisão de Tarefas" no pilar "Pares"?	A colaboração autêntica exige troca contínua de ideias, iteração conjunta, negociação de significados e mentoria mútua durante todo o processo arquitetural do projeto, enquanto a divisão de tarefas apenas segrega o trabalho em ilhas estanques isoladas que não se comunicam heuristicamente.	A divisão de tarefas utiliza plataformas em nuvem para sincronizar arquivos de texto, enquanto a colaboração ocorre exclusivamente de forma analógica em lousas brancas sem a utilização de qualquer dispositivo de silício no recinto escolar clássico conservador formal estático mecânico isolado utilitário pragmático exato conteudista.	A colaboração é aplicável unicamente na fase de documentação estética do produto final, reservando a divisão de tarefas para a codificação binária profunda realizada pelos estudantes considerados geneticamente aptos pela direção do conselho acadêmico avaliativo restritivo punitivo excludente dogmático elitista mecânico somatório linear fechado competitivo.	Não existe distinção qualitativa; ambos os processos representam a tentativa mercadológica de introduzir métodos de gerenciamento corporativo fordista na gestão dos espaços educacionais maker das instituições submetidas às métricas industriais de alta produtividade quantitativa pontual transmissiva passiva burocrática oficial e engessada no tempo rígida purista cega e exata hierarquizada normatizada.	Alternativa A	Em um projeto colaborativo, o cérebro coletivo estrutura a solução inteira em conjunto; na divisão mecânica, a visão sistêmica perde-se na fragmentação isolada das partes separadas.	Difícil
26	Segundo Mitchel Resnick, qual é o argumento central para estender a abordagem do Jardim de Infância para todos os níveis educacionais?	O modelo de exploração tátil, iteração e construção colaborativa com blocos é o método mais eficaz para desenvolver o pensamento criativo exigido pela sociedade atual.	O currículo do jardim de infância foca na alfabetização digital precoce, o que prepara os alunos para o mercado de trabalho industrial.	A abordagem reduz os custos operacionais das escolas, eliminando a necessidade de professores especialistas em disciplinas exatas.	O modelo foca estritamente na disciplina e no silêncio, garantindo o aumento das notas em testes padronizados nacionais.	Alternativa A	Considere como a dinâmica de criar torres de blocos e ajustar o design se aplica a problemas complexos.	Média
27	No livro, Resnick categoriza os pensadores necessários para o século XXI. O que caracteriza os "Pensadores X" (X-Thinkers)?	São indivíduos inovadores e adaptáveis, capazes de pensar de forma criativa e sistêmica para lidar com situações inéditas e ambientes em constante mudança.	São especialistas focados exclusivamente em habilidades matemáticas avançadas para o desenvolvimento de inteligência artificial de código fechado.	São alunos que obtêm as notas mais altas em exames padronizados baseados em memorização de fatos históricos estáticos.	São profissionais treinados para executar instruções lineares sequenciais com alta velocidade e precisão em linhas de montagem industriais.	Alternativa A	Relacione a letra X com a capacidade de cruzar fronteiras de conhecimento e inovar.	Média
28	Qual é a principal crítica que o autor faz à tendência de introduzir o currículo do ensino fundamental (focado em letras e números) no jardim de infância?	Transforma o jardim de infância em um ambiente de instrução transmissiva, sufocando o desenvolvimento da criatividade e do pensamento exploratório natural da criança.	Acelera excessivamente o aprendizado de programação avançada, causando sobrecarga cognitiva em crianças com menos de sete anos.	Exige a aquisição de computadores de alto custo, desviando recursos que deveriam ser aplicados na alimentação escolar.	Garante que as crianças percam o interesse pelas artes plásticas, uma vez que o foco passa a ser exclusivamente o ensino de matemática discreta.	Alternativa A	O autor defende que o resto da escola deveria se parecer com o jardim de infância, e não o inverso.	Fácil
29	Como a "Espiral da Aprendizagem Criativa" descreve o ciclo ideal de construção do conhecimento no livro?	Um processo iterativo que passa por Imaginar, Criar, Brincar, Compartilhar e Refletir, gerando novas ideias que reiniciam o ciclo em um nível mais profundo.	Um método linear de planejamento rigoroso, execução mecânica e avaliação somativa através de testes de múltipla escolha fechados.	Uma rotina estrita de leitura passiva de documentação técnica, seguida de cópia exata de algoritmos desenvolvidos pelo professor.	Um fluxo de trabalho focado unicamente na estética visual do projeto, ignorando a estruturação lógica e a matemática subjacente.	Alternativa A	O ciclo começa com a concepção mental, passa pela materialização e pela análise social, retornando à ideação.	Fácil
30	O autor contrasta a "Resolução de Problemas" (Problem-Solving) com a "Criação de Projetos" (Project-Making). Qual é o benefício metodológico da criação de projetos?	Os projetos englobam a resolução de problemas em um contexto de intencionalidade, permitindo que o aluno também exercite a identificação e formulação de problemas (problem-finding).	A criação de projetos dispensa o uso do pensamento analítico, permitindo que os alunos foquem unicamente em atividades manuais de baixo esforço cognitivo.	A resolução de problemas é um conceito aplicável apenas à matemática, enquanto a criação de projetos é estritamente aplicável às artes cênicas.	Projetos garantem que todos os alunos de uma classe entreguem um resultado idêntico, facilitando a atribuição de notas métricas pela coordenação.	Alternativa A	Resolver exige encontrar uma resposta; criar exige definir qual é a pergunta e construir a solução.	Difícil
31	O que a metáfora do "Cercadinho" (Playpen) versus "Parque de Diversões" (Playground) ilustra sobre o design de tecnologias educacionais no livro?	O cercadinho representa ambientes restritivos que limitam a agência do usuário a opções predefinidas, enquanto o parque permite exploração aberta, autoria e assunção de riscos criativos.	O cercadinho é recomendado para o ensino médio por garantir a segurança dos dados, enquanto o parque é exclusivo para a educação infantil lúdica e desestruturada.	Parques de diversões são ambientes focados em testes somativos e ranqueamento de alunos, enquanto cercadinhos promovem a colaboração assíncrona global.	Não há distinção teórica; ambos são exemplos de softwares focados em instrucionismo direto e hipermemorização de matrizes lógicas teóricas.	Alternativa A	Avalie a diferença entre um espaço que confina o movimento e um espaço que convida à invenção livre.	Média
32	Ao discutir o pilar "Paixão" (Passion), Resnick argumenta que o principal combustível para o aprendizado profundo é:	A conexão intrínseca do projeto com os interesses pessoais do aprendiz, o que sustenta o engajamento e a resiliência perante o "Hard Fun" (diversão difícil).	O sistema de bonificação financeira oferecido pelas escolas estatais para os alunos que concluem os projetos no menor intervalo de tempo cronometrado.	A cobrança rigorosa exercida pelos pais e professores para que o estudante atinja o primeiro lugar no ranking de notas da turma escolar.	A adoção de narrativas comerciais de videogames populares para disfarçar o ensino de repetição mecanicista de tabuadas aritméticas elementares.	Alternativa A	O esforço necessário para superar bugs complexos exige uma motivação interna genuína, não apenas pressão externa.	Fácil
33	A abordagem do "Tinkering" (pensar com as mãos) é validada no livro como um estilo cognitivo eficiente. Como ele se diferencia do planejamento "Top-Down"?	O Tinkering é um processo iterativo (bottom-up) onde o aprendiz explora materiais, reage ao feedback empírico e ajusta o projeto em tempo real, em oposição à exigência de um plano formal completo prévio.	O Tinkering é um método de estruturação de banco de dados corporativo, enquanto o Top-Down é utilizado exclusivamente para design de interfaces gráficas estáticas.	O Tinkering requer que o aluno trabalhe em total silêncio e isolamento, enquanto o Top-Down é o único método que permite a colaboração verbal em grupo.	O planejamento Top-Down admite o erro e a experimentação aleatória, enquanto o Tinkering exige precisão matemática absoluta desde a primeira linha de código.	Alternativa A	Contraste o arquiteto que desenha a planta completa antes de construir com o artesão que molda a obra interagindo com o material na prática.	Difícil
