ID	Pergunta	Alternativa A	Alternativa B	Alternativa C	Alternativa D	Resposta Correta	Dica	Dificuldade
11	Qual é a distinção fundamental entre o Construtivismo de Piaget e o Construcionismo de Papert?	O Construcionismo enfatiza que a construção mental é mais eficaz ao construir um artefato tangível ou compartilhável.	O Construtivismo foca exclusivamente em ferramentas digitais.	O Construcionismo rejeita a ideia de que o conhecimento é construído pelo sujeito.	Não há distinção teórica.	Alternativa A	Considere a importância do 'objeto para pensar'.	Difícil
12	No design de tecnologias e atividades, o que caracteriza a dimensão das 'Paredes Amplas' (Wide Walls)?	A capacidade de uma ferramenta suportar uma grande diversidade de tipos de projetos e interesses pessoais.	A facilidade com que um iniciante consegue realizar sua primeira tarefa.	A possibilidade de criar projetos de alta complexidade técnica.	O requisito de grandes espaços físicos para laboratórios.	Alternativa A	Relacione o conceito com a multiplicidade de caminhos e estilos.	Média
13	O conceito de 'Ideias Poderosas' (Powerful Ideas) refere-se a:	Conceitos que transformam a maneira como o indivíduo percebe o mundo e facilitam a aquisição de novos conhecimentos.	Técnicas de marketing utilizadas para promover projetos educacionais.	Algoritmos de alta performance utilizados em IA.	Ideias geradas exclusivamente por especialistas da área de tecnologia.	Alternativa A	Pense em conhecimentos que funcionam como alavancas para o pensamento.	Difícil
14	Como a 'Fluência Tecnológica' se diferencia da mera 'Alfabetização Digital'?	A fluência envolve a capacidade de usar a tecnologia para se expressar criativamente, de forma análoga à escrita.	A fluência é atingida apenas quando o usuário domina linguagens de programação complexas.	A alfabetização digital foca na criação, enquanto a fluência foca no uso básico.	Não há diferença, ambos referem-se ao domínio técnico.	Alternativa A	Considere a analogia com um idioma: falar e escrever vs. apenas ler.	Média
15	Na abordagem do 'Tinkering' (Pensar com as Mãos), qual é o papel da exploração dos materiais?	O material é um parceiro de conversa; as propriedades físicas guiam as decisões do aprendiz.	O material deve ser secundário ao plano teórico rigoroso.	A exploração deve ser rápida para chegar ao resultado padronizado.	Materiais de baixo custo não permitem exploração profunda.	Alternativa A	Reflita sobre como o feedback imediato dos materiais influencia o projeto.	Difícil
16	Qual é a função da etapa 'Refletir' dentro da Espiral da Aprendizagem Criativa?	Permitir que o aprendiz analise seu processo, compreenda problemas e gere novas ideias.	Atribuir uma nota final baseada na estética do projeto.	Encerrar a atividade para que o aluno não precise mais pensar no assunto.	Substituir a prática por um momento puramente expositivo.	Alternativa A	Pense na reflexão como a ponte entre o 'fazer' e o 'compreender'.	Média
17	Se uma atividade possui um 'Piso Alto', qual é a consequência mais provável?	A exclusão de participantes que não possuem conhecimentos prévios avançados, dificultando o engajamento.	Um aumento imediato na criatividade de todos os alunos.	A garantia de que todos os projetos serão tecnicamente perfeitos.	A promoção de uma cultura de colaboração intensa entre especialistas.	Alternativa A	O termo 'piso' refere-se ao esforço necessário para dar o primeiro passo.	Média
18	A aprendizagem com 'Pares' (Peers) em comunidades criativas é otimizada quando:	Há um ambiente de ajuda mútua, compartilhamento de códigos e inspirações de forma horizontal.	Os alunos são impedidos de ver os projetos uns dos outros para evitar o plágio.	O professor seleciona um único monitor que detém o conhecimento.	As duplas são formadas obrigatoriamente por níveis de habilidade idênticos.	Alternativa A	Considere o conceito de 'remix' como uma forma legítima de aprendizagem.	Média
19	Ao projetar um ambiente para Aprendizagem Criativa, o que se entende por 'Micro-mundos'?	Ambientes restritos e seguros onde o aprendiz pode explorar conceitos através da manipulação de objetos e regras.	Maquetes em escala reduzida produzidas para visualização arquitetônica.	Salas de aula com poucos alunos para garantir atenção individualizada.	Softwares que automatizam a correção de exercícios.	Alternativa A	Lembre-se da linguagem de programação Logo e da Tartaruga.	Difícil
20	Qual critério é prioritário na avaliação de um projeto sob a ótica da Aprendizagem Criativa?	A evidência de evolução no pensamento do aluno e a profundidade das conexões pessoais estabelecidas.	A conformidade estrita com o manual de instruções fornecido.	A velocidade com que o aluno completou a tarefa.	O custo dos materiais utilizados no projeto.	Alternativa A	Foque no desenvolvimento do sujeito e na trajetória do 'fazer'.	Média
21	Qual é a principal diferença conceitual entre blocos de programação visual e linguagens de programação baseadas em texto?	A eliminação de erros de sintaxe estrutural, permitindo foco total na lógica e no fluxo do projeto.	A impossibilidade de criar laços de repetição e condicionais estruturados.	A necessidade de compilação em nuvem antes da execução do código.	O uso exclusivo para controle de hardware robótico.	Alternativa A	Avalie qual barreira técnica é removida quando os comandos se encaixam como peças.	Fácil
22	O conceito de 'Objetos para Pensar' (Objects-to-think-with) implica que:	A aprendizagem ocorre pela interação com artefatos que facilitam a exploração de conceitos abstratos.	Os alunos devem memorizar as propriedades físicas dos objetos de laboratório.	O pensamento só é válido se materializado em objetos de alto custo tecnológico.	A abstração matemática não depende de representações mentais baseadas no mundo físico.	Alternativa A	Relacione o artefato criado com a representação cognitiva interna.	Difícil
23	Na facilitação de atividades de 'Tinkering', a intervenção ideal ao observar um aluno frustrado com um circuito que não funciona é:	Fazer perguntas abertas sobre o fluxo da corrente e as conexões para incentivar a depuração autônoma.	Indicar imediatamente qual fio está solto e como reconectá-lo.	Sugerir que o aluno abandone o circuito e inicie um projeto diferente e mais simples.	Pegar os componentes e montar o circuito para o aluno observar.	Alternativa A	O objetivo é desenvolver habilidades de resolução de problemas, não apenas obter um circuito funcional.	Difícil
24	Projetos de codificação criativa em dispositivos móveis, utilizando sensores nativos, servem prioritariamente para:	Conectar a criação digital com o movimento físico e o ambiente ao redor do aluno.	Substituir periféricos como mouses e teclados físicos em laboratórios tradicionais.	Aumentar a complexidade do código exigido na programação estruturada.	Garantir que os alunos permaneçam sentados durante a execução do projeto.	Alternativa A	Analise a relação entre os dados de entrada (input) dos sensores e o engajamento sinestésico.	Média
25	O que Seymour Papert criticava no uso tradicional dos computadores nas escolas, referindo-se a eles como ferramentas para 'programar a criança'?	O uso do computador como uma máquina de instrução linear (CAI), em vez de um instrumento governado pelo aluno.	O foco excessivo no ensino de algoritmos de ordenação e estruturas de dados complexas.	A falta de investimento na compra de hardwares atualizados e com interfaces gráficas coloridas.	A permissão para que os alunos passassem tempo excessivo desenvolvendo jogos.	Alternativa A	Diferencie o computador atuando como professor versus o computador como material de construção.	Difícil
26	Qual é a função do 'Piso Baixo' no design de uma atividade educacional?	Permitir que iniciantes comecem a participar e criar com o mínimo de barreiras técnicas e conceituais.	Restringir o acesso apenas a alunos que já demonstraram proficiência em níveis anteriores.	Manter a expectativa de resultados no nível mais básico possível durante todo o processo.	Reduzir o orçamento necessário para a execução do planejamento pedagógico.	Alternativa A	Relacione a expressão com a acessibilidade no momento zero da experiência.	Fácil
27	A metáfora do 'Jardim de Infância para a Vida Toda' (Lifelong Kindergarten) sugere que:	O estilo de aprendizagem baseado em exploração, blocos de montar e criação colaborativa deve ser estendido a todos os níveis educacionais.	As crianças devem passar mais anos na educação infantil antes de iniciar o letramento formal.	Os adultos perdem a capacidade criativa de forma irreversível após a primeira infância.	A estrutura curricular do ensino superior deve ser aplicada de forma simplificada ao jardim de infância.	Alternativa A	Avalie como o ciclo de imaginação e criação opera independentemente da faixa etária.	Média
28	Na construção de um ambiente construcionista, o erro lógico no projeto do aluno deve ser tratado pedagogicamente como:	Um sintoma do modelo mental atual do aluno, oferecendo uma oportunidade explícita de depuração reflexiva.	Uma indicação de que o conceito ensinado estava além da zona de desenvolvimento proximal.	Uma falha que deve gerar deduções na pontuação formativa da atividade.	Um desvio de atenção que exige a retomada das instruções teóricas fornecidas pelo facilitador.	Alternativa A	Pense no erro (bug) como um dado informativo valioso sobre o raciocínio em andamento.	Difícil
29	Qual é a importância da 'Comunidade' no ecossistema de plataformas criativas digitais?	Fornecer um público autêntico, feedback diversificado e um repositório de projetos abertos para remixagem.	Garantir que o suporte técnico seja fornecido exclusivamente por outros usuários.	Criar um ambiente competitivo com ranking global para incentivar a produtividade.	Armazenar dados analíticos sobre o tempo de tela dos usuários para os desenvolvedores.	Alternativa A	Considere o impacto da validação social e do acesso a recursos criados por terceiros.	Média
30	A transição do instrucionismo para o construcionismo exige uma mudança na epistemologia escolar, que passa a valorizar:	O conhecimento como uma construção ativa e contextualizada do sujeito, em vez da transferência de informações isoladas.	A memorização acelerada por meio de ferramentas tecnológicas de repetição espaçada.	A dependência exclusiva do facilitador como única fonte de validação técnica do projeto.	O abandono completo de conteúdos curriculares em prol de atividades não estruturadas de lazer.	Alternativa A	Compare a metáfora do aluno como 'receptor' com a do aluno como 'construtor'.	Difícil
31	Qual é a distinção fundamental entre a abordagem de 'Tinkering' e o processo de Engenharia Tradicional no contexto educacional?	O Tinkering é um processo de baixo para cima (bottom-up), baseado em iteração e exploração de materiais, enquanto a engenharia tradicional costuma ser de cima para baixo (top-down), focada em planejamento prévio rígido.	A engenharia tradicional não utiliza ferramentas físicas, enquanto o Tinkering é estritamente mecânico.	O Tinkering foca na otimização matemática de estruturas, enquanto a engenharia foca na estética visual.	Não há diferença; ambos exigem a elaboração de especificações técnicas detalhadas antes de iniciar a construção.	Alternativa A	Considere a diferença entre planejar um prédio e brincar com blocos de montar.	Média
32	O conceito de 'Pluralismo Epistemológico', discutido por Turkle e Papert, defende que na aprendizagem de programação:	Existem múltiplas formas válidas de pensar e criar, incluindo abordagens formais (abstratas) e abordagens de 'bricolage' (concretas e negociadas).	A única forma correta de aprender a programar é através da matemática discreta e da lógica formal estrita.	A programação deve ser ensinada apenas por meio de linguagens de baixo nível, como Assembly.	Meninas e meninos devem ser ensinados em laboratórios de informática separados para evitar distrações.	Alternativa A	Relacione com a validação de diferentes estilos cognitivos e de trabalho.	Difícil
33	Qual é o princípio de design da linguagem Scratch que permite aos usuários modificar parâmetros de um código enquanto ele está em execução, sem necessidade de recompilar?	Tinkerability (capacidade de experimentação contínua).	Encapsulamento estrito de dados.	Herança múltipla de classes.	Tipagem estática de variáveis.	Alternativa A	Pense na eliminação do ciclo de 'escrever, compilar, testar, parar'.	Fácil
34	Na etapa de 'Compartilhar' da Espiral da Aprendizagem Criativa, qual é o papel primário da audiência (colegas, facilitadores, comunidade)?	Atuar como co-criadores e fornecedores de feedback autêntico e construtivo, ampliando o significado do projeto.	Apenas atribuir uma nota quantitativa ao esforço do criador.	Buscar erros de sintaxe no código para invalidar a funcionalidade do projeto.	Competir para demonstrar superioridade técnica sobre o projeto apresentado.	Alternativa A	A audiência dá propósito e contexto social à criação.	Média
35	No contexto do design de linguagens de programação visual, o que o 'Piso Baixo' garante especificamente?	A eliminação de erros de sintaxe (syntax errors), pois os blocos apenas se encaixam se a estrutura lógica for permitida.	A execução do código em dispositivos com processadores de baixo desempenho.	A obrigatoriedade de utilizar interfaces monocromáticas para evitar distração cognitiva.	A restrição da programação a operações matemáticas básicas de adição e subtração.	Alternativa A	Avalie qual barreira técnica frustra a maioria dos iniciantes em linguagens baseadas em texto.	Fácil
36	A história autobiográfica de Seymour Papert sobre as 'Engrenagens de sua infância' ilustra qual princípio fundamental do Construcionismo?	A importância de uma relação afetiva e de apropriação pessoal com um objeto para a construção de modelos mentais complexos (como equações diferenciais).	A necessidade de ensinar engenharia mecânica para todas as crianças antes do ensino fundamental.	A superioridade dos brinquedos de madeira sobre os brinquedos eletrônicos modernos.	A ideia de que o cérebro humano funciona como uma máquina de engrenagens determinística.	Alternativa A	Foque na conexão emocional entre o aprendiz e o objeto de estudo.	Difícil
37	Qual é a principal diferença entre a 'Aprendizagem Baseada em Projetos' (PBL tradicional) e a abordagem de projetos na Aprendizagem Criativa?	Na Aprendizagem Criativa, os alunos têm maior autonomia para definir o tema e a direção do projeto baseados em suas paixões, em vez de resolver um problema padronizado definido pelo professor.	A Aprendizagem Criativa não permite o uso de tecnologia digital, enquanto o PBL tradicional exige.	O PBL tradicional é individual, enquanto a Aprendizagem Criativa proíbe o trabalho individual.	A Aprendizagem Criativa foca em testes padronizados ao final da execução, o PBL foca em portfólios.	Alternativa A	Compare a resolução de um problema imposto com a expressão de um interesse pessoal.	Média
38	Ao criticar o pensamento 'Tecnocêntrico' na educação, Seymour Papert alertava contra qual prática?	Acreditar que a simples introdução de computadores na sala de aula, por si só, melhoraria a aprendizagem, ignorando a mudança na cultura e na pedagogia.	Treinar professores para consertar hardwares e montar redes de computadores nas escolas.	Ensinar linguagens de programação antigas em vez de tecnologias de ponta.	Permitir que os alunos utilizassem a internet para pesquisas acadêmicas não supervisionadas.	Alternativa A	Avalie a diferença entre focar na ferramenta versus focar no processo cognitivo.	Média
39	A filosofia do 'Jardim de Infância para a Vida Toda' (Lifelong Kindergarten) destina-se primariamente a qual faixa etária?	A aprendizes de todas as idades, defendendo que o estilo de aprendizagem colaborativo e exploratório deve ser mantido ao longo de toda a vida.	Apenas a crianças na educação infantil, de 3 a 6 anos.	A estudantes universitários de cursos de pedagogia e licenciaturas.	A adultos em programas de requalificação profissional corporativa, excluindo o ensino básico.	Alternativa A	Analise a expressão 'para a vida toda' no título da filosofia.	Fácil
40	O conceito de 'Aprendizagem Sintônica', introduzido na linguagem Logo, significa que o aprendiz: 	Pode relacionar o conhecimento formal (como geometria) com seu próprio senso corporal e intuição (Body Syntonic) para programar o movimento da Tartaruga.	Deve sincronizar o relógio do computador com o servidor da escola antes de compilar o código.	Precisa aprender a sintetizar textos complexos antes de começar a programar.	Absorve informações de forma passiva através de estímulos audiovisuais ritmados.	Alternativa A	Considere como o aluno se coloca no lugar do objeto virtual para entender como movê-lo.	Difícil
41	No design de experiências de aprendizagem, qual é a crítica da Aprendizagem Criativa à 'Gamificação' tradicional (pontos, medalhas e rankings)?	A gamificação foca em motivação extrínseca e recompensas externas, enquanto a Aprendizagem Criativa busca engajamento através da motivação intrínseca e do significado pessoal do projeto.	A gamificação torna o software muito pesado e difícil de rodar em computadores antigos.	A gamificação exige que o facilitador saiba programar sistemas de banco de dados complexos.	Não há crítica; a gamificação é considerada o principal pilar da Aprendizagem Criativa.	Alternativa A	Diferencie fazer algo para ganhar um prêmio de fazer algo pelo prazer da descoberta.	Média
42	O que caracteriza uma atividade de Aprendizagem Criativa 'Desplugada' (Unplugged)?	A exploração de conceitos computacionais, lógica ou sistemas complexos utilizando materiais físicos (papel, barbante, sucata), sem o uso de computadores ou telas.	A obrigatoriedade de desconectar o computador da internet durante a aula para evitar distrações.	O uso exclusivo de tablets rodando em modo avião.	A desmontagem de aparelhos eletrônicos antigos para estudo de seus componentes internos.	Alternativa A	O foco está em abstrair a lógica da máquina para materiais do cotidiano.	Fácil
43	Na facilitação de atividades de Tinkering, a 'ambiguidade' nos materiais e nas instruções iniciais atua como:	Um recurso pedagógico intencional que obriga o aprendiz a tomar decisões, criar significado e desenvolver tolerância à incerteza.	Uma falha de planejamento do professor que deve ser corrigida com manuais mais detalhados.	Um obstáculo intransponível que gera ansiedade e bloqueia completamente a criatividade.	Uma estratégia para reduzir o tempo de duração da aula.	Alternativa A	Em ambientes criativos, não ter um único caminho claro é uma vantagem para a autoria.	Difícil
44	Qual instrumento de avaliação é mais coerente com os princípios da Aprendizagem Criativa?	Portfólios de processo documentando as iterações, os rascunhos, as dificuldades superadas e a reflexão do aluno sobre a própria jornada.	Testes de múltipla escolha padronizados aplicados ao final de cada módulo de software.	Avaliação baseada unicamente na velocidade de entrega e na estética visual do código final.	Medição quantitativa de quantas linhas de código foram escritas em um período de 50 minutos.	Alternativa A	A avaliação deve capturar a narrativa da construção, não apenas o produto.	Média
45	Em um ambiente escolar, qual é o propósito principal da criação de um Makerspace orientado pela Aprendizagem Criativa?	Fornecer um ambiente que encoraje a experimentação interdisciplinar, a prototipagem de ideias e a colaboração entre pares utilizando ferramentas variadas.	Isolar os alunos com mau comportamento para que realizem atividades manuais corretivas.	Centralizar todos os equipamentos caros da escola em uma sala que os alunos só podem observar através de vidros.	Substituir completamente as aulas de matemática e ciências por aulas de marcenaria.	Alternativa A	O espaço deve ser um hub de possibilidades, não um museu de ferramentas.	Fácil
46	O 'Paradoxo da Estrutura' na facilitação de ambientes construcionistas refere-se à tensão entre:	Fornecer andaimes (scaffolding) suficientes para que o aluno não fique paralisado, sem impor restrições que destruam a autonomia e a agência criativa.	A estrutura física da sala de aula e a infraestrutura de rede sem fio da escola.	A rigidez das linguagens de programação baseadas em texto e a fluidez das artes plásticas.	A necessidade de cumprir a carga horária governamental e os horários de recreio.	Alternativa A	Equilibrar o direcionamento com a liberdade é o principal desafio do educador.	Difícil
47	Como a Aprendizagem Criativa aborda o debate sobre o 'Tempo de Tela' (Screen Time) para crianças e jovens?	Desloca o foco do tempo quantitativo para a qualidade qualitativa, diferenciando o consumo passivo de mídia da criação ativa e autoral no computador.	Defende que o tempo de tela deve ser zero até que o aluno atinja o ensino médio.	Recomenda que não haja limite de horas, desde que a tela esteja exibindo videoaulas de disciplinas tradicionais.	Argumenta que o tempo de tela só é válido se utilizado para competições de e-sports escolares.	Alternativa A	A diferença entre assistir a um vídeo por 3 horas versus programar uma animação por 3 horas.	Média
48	Qual cenário de sala de aula exemplifica melhor a presença do conceito de 'Hard Fun' (Diversão Difícil)?	Alunos trabalhando voluntariamente durante o intervalo para corrigir um bug complexo na lógica de física do seu projeto de jogo, demonstrando alta concentração e persistência.	Uma turma assistindo a um documentário de três horas sobre a história da computação, com o objetivo de memorizar datas para uma prova.	Alunos seguindo um tutorial passo a passo para montar um robô exatamente igual ao do professor, terminando a tarefa em dez minutos.	A aplicação de uma prova surpresa de matemática com equações que a turma ainda não estudou.	Alternativa A	O foco está no engajamento autônomo e profundo com um problema desafiador.	Fácil
49	Na comunidade de programação visual, o ato de fazer um 'Remix' significa:	Copiar um projeto aberto criado por outro usuário, estudar seu código, fazer modificações, adicionar elementos próprios e republicá-lo dando os devidos créditos.	Realizar engenharia reversa para explorar falhas de segurança no servidor da plataforma educacional.	Baixar o projeto de um colega e enviá-lo como trabalho próprio para obter nota, sem realizar alterações ou dar créditos.	Utilizar algoritmos de áudio para misturar trilhas sonoras dentro da interface do projeto.	Alternativa A	Pense na cultura de código aberto e na colaboração assíncrona.	Média
50	O conceito de 'Mathland' (A Terra da Matemática), proposto por Seymour Papert, faz analogia a qual processo natural humano?	A facilidade com que crianças aprendem a língua materna vivendo na França, sugerindo que a matemática poderia ser aprendida naturalmente se os alunos habitassem um ambiente onde ela fosse a linguagem fluente e útil.	A capacidade de resolução rápida de cálculos mentais observada em caixas de supermercado devido à repetição diária.	O isolamento de crianças em laboratórios de controle de variáveis para estudo de comportamento operante.	A estrutura curricular linear adotada pelos países europeus no ensino de matemática discreta.	Alternativa A	Considere a imersão em um ambiente onde o conhecimento tem uso social e prático.	Difícil
51	Por que o pilar 'Pares' (Peers) é considerado crítico para a escalabilidade da Aprendizagem Criativa em grandes turmas?	Porque descentraliza o conhecimento; os alunos atuam como recursos uns para os outros (mentoria entre pares), reduzindo o gargalo do professor como única fonte de informação.	Porque permite que o professor divida a turma em dois grupos competitivos, facilitando a aplicação de provas em formato de gincana.	Porque obriga a escola a comprar equipamentos em pares, garantindo redundância de hardware em caso de falhas.	Porque assegura que todos os projetos terão o mesmo nível de complexidade, facilitando a correção padronizada no final do semestre.	Alternativa A	Avalie como redes distribuídas de suporte funcionam melhor que estruturas centralizadas.	Média
52	O uso de placas de computação física, como o micro:bit, em atividades de Aprendizagem Criativa serve primariamente para:	Expandir as fronteiras do projeto digital para o mundo físico, permitindo a interação através de sensores (luz, temperatura, movimento) e atuadores.	Substituir completamente a necessidade de computadores, rodando sistemas operacionais complexos direto na placa.	Otimizar o processamento de modelos de linguagem de grande escala (LLMs) em servidores escolares locais.	Garantir que as crianças aprendam a soldar componentes eletrônicos miniaturizados desde a educação infantil.	Alternativa A	Conectar o código na tela com o mundo real (acender um LED, medir uma inclinação).	Fácil
53	Como os processos cognitivos de 'Assimilação' e 'Acomodação' (Piaget) se manifestam durante a programação de um robô educacional?	O aluno tenta usar a lógica que já conhece (assimilação); quando o robô age de forma inesperada, ocorre um desequilíbrio cognitivo que força a revisão e reestruturação de sua lógica mental (acomodação).	A assimilação ocorre quando o professor dita o código, e a acomodação ocorre quando o aluno copia o código no teclado sem errar.	O robô assimila as informações do ambiente via sensores de ultrassom e acomoda seus motores para não bater nas paredes.	Não há relação, pois a teoria piagetiana só se aplica ao desenvolvimento de crianças menores de 7 anos e não à robótica.	Alternativa A	Foque na adaptação das estruturas mentais do aluno em resposta ao feedback do mundo físico.	Difícil
54	Na etapa 'Refletir' do ciclo de aprendizagem, qual é a principal vantagem pedagógica de solicitar que o aluno escreva um diário de bordo (documentation)?	A exteriorização do pensamento força o aluno a articular as estratégias metacognitivas utilizadas, consolidando a aprendizagem e tornando o processo visível.	Garante que o aluno pratique a caligrafia e a gramática normativa da língua portuguesa de forma repetitiva.	Facilita o trabalho do professor na detecção de plágio de código entre os alunos da mesma bancada.	Permite a criação de um manual técnico rígido que os alunos das turmas seguintes deverão seguir sem desvios.	Alternativa A	Relacione o registro escrito com a metacognição (pensar sobre o próprio pensamento).	Média
55	Qual dos '4 Ps' da Aprendizagem Criativa justifica a estratégia de permitir que os alunos escolham programar um jogo de futebol, uma animação sobre astronomia ou um gerador de arte abstrata dentro da mesma aula?	Paixão (Passion).	Pares (Peers).	Pensar Brincando (Play).	Projetos (Projects).	Alternativa A	A liberdade temática atende aos interesses individuais que motivam o trabalho árduo.	Fácil
56	No contexto das tecnologias digitais, a crítica central de Mitchel Resnick ao 'Instrucionismo' baseia-se no argumento de que:	As tecnologias frequentemente são usadas para automatizar e otimizar a transmissão passiva de informações (ex: flashcards digitais), desperdiçando o potencial do computador como material de expressão e autoria.	Os professores não possuem treinamento técnico suficiente para operar projetores multimídia e quadros interativos nas escolas públicas.	O instrucionismo exige o uso de inteligência artificial de alto custo, inviabilizando a adoção em larga escala na América Latina.	Aulas expositivas são prejudiciais à visão dos alunos devido à exposição prolongada à luz azul dos monitores.	Alternativa A	Diferencie o computador atuando como 'entregador de informação' versus o computador como 'tela em branco'.	Difícil
57	O princípio de 'Paredes Amplas' em uma ferramenta pedagógica suporta a inclusão e a diversidade na sala de aula ao garantir que:	Múltiplos estilos cognitivos, interesses culturais e necessidades de expressão sejam validados e possam ser atendidos pela mesma plataforma.	Alunos com deficiência visual e auditiva recebam equipamentos especializados com interfaces táteis exclusivas.	A sala de aula física seja expandida através da derrubada de paredes de alvenaria para unificar turmas diferentes.	O currículo seja padronizado nacionalmente, garantindo que todos os alunos estudem exatamente o mesmo projeto na mesma semana.	Alternativa A	A ferramenta deve se adaptar à diversidade dos alunos, não forçar os alunos a se adaptarem à ferramenta.	Média
58	Qual é a principal distinção pedagógica entre oferecer a um aluno um 'Quebra-cabeça' (Puzzle) educacional digital versus oferecer uma ferramenta de criação de 'Projetos' (Projects)?	Quebra-cabeças têm um estado final único, correto e predeterminado pelo criador do software; projetos possuem múltiplos estados finais válidos e são determinados pelas intenções do aluno.	Quebra-cabeças exigem habilidades de programação em C++, enquanto projetos podem ser realizados utilizando apenas blocos visuais.	Quebra-cabeças são exclusivamente analógicos (madeira ou papelão), enquanto projetos são estritamente digitais e baseados em código.	Projetos são utilizados para avaliação somativa no final do ano, enquanto quebra-cabeças são usados para avaliação diagnóstica no início do ano.	Alternativa A	Analise a diferença entre descobrir o que o autor do software queria versus expressar o que você quer.	Média
59	O conceito de 'Iteração' no desenvolvimento de projetos difere da simples 'Tentativa e Erro' porque:	A iteração implica em ciclos de design onde cada nova versão incorpora a reflexão e os dados coletados no ciclo anterior, visando aprimoramento contínuo e intencional.	A iteração foca em testar dados aleatórios de forma automatizada até que o sistema não apresente falhas de compilação.	A tentativa e erro é um método analítico rigoroso, enquanto a iteração depende exclusivamente da intuição do aprendiz sem embasamento técnico.	Na iteração, o objetivo deve ser alcançado perfeitamente na primeira execução, abolindo a necessidade de revisão do código base.	Alternativa A	A tentativa e erro pode ser cega; a iteração constrói conhecimento progressivamente.	Fácil
